nohup: ignoring input
[env] device=cuda cuda=True
[optim] Using AdamW, base lr=0.0003
Epoch 7 It 0/4492 | lr=0.0003 | loss=939.9471
Epoch 7 It 100/4492 | lr=0.0003 | loss=584.4276
Epoch 7 It 200/4492 | lr=0.0003 | loss=1687.0087
Epoch 7 It 300/4492 | lr=0.0003 | loss=840.6146
Epoch 7 It 400/4492 | lr=0.0003 | loss=706.9352
Epoch 7 It 500/4492 | lr=0.0003 | loss=622.1100
Epoch 7 It 600/4492 | lr=0.0003 | loss=876.5275
Epoch 7 It 700/4492 | lr=0.0003 | loss=2789.5833
Epoch 7 It 800/4492 | lr=0.000299999 | loss=1164.7548
Epoch 7 It 900/4492 | lr=0.000299999 | loss=717.3774
Epoch 7 It 1000/4492 | lr=0.000299999 | loss=1490.7159
Epoch 7 It 1100/4492 | lr=0.000299999 | loss=2665.5876
Epoch 7 It 1200/4492 | lr=0.000299999 | loss=850.7419
Epoch 7 It 1300/4492 | lr=0.000299998 | loss=3957.8770
Epoch 7 It 1400/4492 | lr=0.000299998 | loss=749.7381
Epoch 7 It 1500/4492 | lr=0.000299998 | loss=2019.7079
Epoch 7 It 1600/4492 | lr=0.000299998 | loss=1376.7471
Epoch 7 It 1700/4492 | lr=0.000299997 | loss=1831.4023
Epoch 7 It 1800/4492 | lr=0.000299997 | loss=653.7417
Epoch 7 It 1900/4492 | lr=0.000299996 | loss=713.3853
Epoch 7 It 2000/4492 | lr=0.000299996 | loss=1564.6902
Epoch 7 It 2100/4492 | lr=0.000299996 | loss=546.9352
Epoch 7 It 2200/4492 | lr=0.000299995 | loss=648.5835
Epoch 7 It 2300/4492 | lr=0.000299995 | loss=946.1230
Epoch 7 It 2400/4492 | lr=0.000299994 | loss=971.9512
Epoch 7 It 2500/4492 | lr=0.000299994 | loss=1773.5369
Epoch 7 It 2600/4492 | lr=0.000299993 | loss=560.1656
Epoch 7 It 2700/4492 | lr=0.000299993 | loss=2141.3447
Epoch 7 It 2800/4492 | lr=0.000299992 | loss=2736.0039
Epoch 7 It 2900/4492 | lr=0.000299992 | loss=1164.4811
Epoch 7 It 3000/4492 | lr=0.000299991 | loss=565.0198
Epoch 7 It 3100/4492 | lr=0.000299991 | loss=1044.8253
Epoch 7 It 3200/4492 | lr=0.00029999 | loss=1402.3855
Epoch 7 It 3300/4492 | lr=0.000299989 | loss=485.9624
Epoch 7 It 3400/4492 | lr=0.000299989 | loss=1962.3546
Epoch 7 It 3500/4492 | lr=0.000299988 | loss=2249.4805
Epoch 7 It 3600/4492 | lr=0.000299987 | loss=1747.9948
Epoch 7 It 3700/4492 | lr=0.000299987 | loss=1131.1984
Epoch 7 It 3800/4492 | lr=0.000299986 | loss=794.2847
Epoch 7 It 3900/4492 | lr=0.000299985 | loss=481.2097
Epoch 7 It 4000/4492 | lr=0.000299984 | loss=379.8627
Epoch 7 It 4100/4492 | lr=0.000299984 | loss=690.5822
Epoch 7 It 4200/4492 | lr=0.000299983 | loss=1276.6614
Epoch 7 It 4300/4492 | lr=0.000299982 | loss=886.2205
Epoch 7 It 4400/4492 | lr=0.000299981 | loss=2483.7188
[epoch 7] train_loss=1330.1622 train_mae=16.9754
[ckpt] saved checkpoints_single/ctcf_ep7.pt
Epoch 8 It 0/4492 | lr=0.00029998 | loss=1108.1187
Epoch 8 It 100/4492 | lr=0.00029998 | loss=1328.8531
Epoch 8 It 200/4492 | lr=0.000299979 | loss=469.5147
Epoch 8 It 300/4492 | lr=0.000299978 | loss=1505.1692
Epoch 8 It 400/4492 | lr=0.000299977 | loss=1488.6807
Epoch 8 It 500/4492 | lr=0.000299976 | loss=2270.9390
Epoch 8 It 600/4492 | lr=0.000299975 | loss=1348.1193
Epoch 8 It 700/4492 | lr=0.000299974 | loss=4393.3408
Epoch 8 It 800/4492 | lr=0.000299973 | loss=614.6360
Epoch 8 It 900/4492 | lr=0.000299972 | loss=3445.8508
Epoch 8 It 1000/4492 | lr=0.000299971 | loss=2018.0198
Epoch 8 It 1100/4492 | lr=0.00029997 | loss=634.3669
Epoch 8 It 1200/4492 | lr=0.000299969 | loss=1614.2687
Epoch 8 It 1300/4492 | lr=0.000299967 | loss=1523.9518
Epoch 8 It 1400/4492 | lr=0.000299966 | loss=1818.8495
Epoch 8 It 1500/4492 | lr=0.000299965 | loss=892.9951
Epoch 8 It 1600/4492 | lr=0.000299964 | loss=1366.3518
Epoch 8 It 1700/4492 | lr=0.000299963 | loss=1322.9102
Epoch 8 It 1800/4492 | lr=0.000299962 | loss=1001.7333
Epoch 8 It 1900/4492 | lr=0.00029996 | loss=1539.2257
Epoch 8 It 2000/4492 | lr=0.000299959 | loss=489.0626
Epoch 8 It 2100/4492 | lr=0.000299958 | loss=2584.8047
Epoch 8 It 2200/4492 | lr=0.000299956 | loss=1825.5621
Epoch 8 It 2300/4492 | lr=0.000299955 | loss=2083.4514
Epoch 8 It 2400/4492 | lr=0.000299954 | loss=1392.4172
Epoch 8 It 2500/4492 | lr=0.000299952 | loss=510.3498
Epoch 8 It 2600/4492 | lr=0.000299951 | loss=1561.4131
Epoch 8 It 2700/4492 | lr=0.00029995 | loss=731.0648
Epoch 8 It 2800/4492 | lr=0.000299948 | loss=1002.2933
Epoch 8 It 2900/4492 | lr=0.000299947 | loss=401.3164
Epoch 8 It 3000/4492 | lr=0.000299945 | loss=739.4581
Epoch 8 It 3100/4492 | lr=0.000299944 | loss=916.3421
Epoch 8 It 3200/4492 | lr=0.000299943 | loss=1881.6925
Epoch 8 It 3300/4492 | lr=0.000299941 | loss=523.7972
Epoch 8 It 3400/4492 | lr=0.000299939 | loss=2206.3196
Epoch 8 It 3500/4492 | lr=0.000299938 | loss=1061.2189
Epoch 8 It 3600/4492 | lr=0.000299936 | loss=993.8592
Epoch 8 It 3700/4492 | lr=0.000299935 | loss=2903.1172
Epoch 8 It 3800/4492 | lr=0.000299933 | loss=1156.5380
Epoch 8 It 3900/4492 | lr=0.000299932 | loss=698.0744
Epoch 8 It 4000/4492 | lr=0.00029993 | loss=601.6601
Epoch 8 It 4100/4492 | lr=0.000299928 | loss=1803.5717
Epoch 8 It 4200/4492 | lr=0.000299927 | loss=1228.5011
Epoch 8 It 4300/4492 | lr=0.000299925 | loss=768.6808
Epoch 8 It 4400/4492 | lr=0.000299923 | loss=10392.1426
[epoch 8] train_loss=1288.0093 train_mae=16.8297
[ckpt] saved checkpoints_single/ctcf_ep8.pt
Epoch 9 It 0/4492 | lr=0.000299922 | loss=1244.2078
Epoch 9 It 100/4492 | lr=0.00029992 | loss=477.1929
Epoch 9 It 200/4492 | lr=0.000299918 | loss=449.1476
Epoch 9 It 300/4492 | lr=0.000299916 | loss=575.6260
Epoch 9 It 400/4492 | lr=0.000299914 | loss=1350.8101
Epoch 9 It 500/4492 | lr=0.000299913 | loss=984.0078
Epoch 9 It 600/4492 | lr=0.000299911 | loss=889.9667
Epoch 9 It 700/4492 | lr=0.000299909 | loss=621.1158
Epoch 9 It 800/4492 | lr=0.000299907 | loss=1601.0800
Epoch 9 It 900/4492 | lr=0.000299905 | loss=770.8992
Epoch 9 It 1000/4492 | lr=0.000299903 | loss=741.2823
Epoch 9 It 1100/4492 | lr=0.000299901 | loss=1141.9410
Epoch 9 It 1200/4492 | lr=0.000299899 | loss=1240.1074
Epoch 9 It 1300/4492 | lr=0.000299897 | loss=650.2935
Epoch 9 It 1400/4492 | lr=0.000299895 | loss=1094.9006
Epoch 9 It 1500/4492 | lr=0.000299893 | loss=675.5838
Epoch 9 It 1600/4492 | lr=0.000299891 | loss=1179.3291
Epoch 9 It 1700/4492 | lr=0.000299889 | loss=1632.6064
Epoch 9 It 1800/4492 | lr=0.000299887 | loss=2325.9595
Epoch 9 It 1900/4492 | lr=0.000299885 | loss=801.3105
Epoch 9 It 2000/4492 | lr=0.000299883 | loss=1822.5880
Epoch 9 It 2100/4492 | lr=0.000299881 | loss=487.2309
